date,portfolio_value
2021-10-18,10000.0
2021-10-19,10000.0
2021-10-20,9999.702053863526
2021-10-21,10002.948941070557
2021-10-22,10001.098487091065
2021-10-25,10000.799843078614
2021-10-26,10002.718818908692
2021-10-27,10015.376869445801
2021-10-28,10016.206120513916
2021-10-29,10015.88470968628
2021-11-01,10013.704015106201
2021-11-02,10017.025397308349
2021-11-03,10016.70167980957
2021-11-04,10019.066670043945
2021-11-05,10018.372608734131
2021-11-08,10018.372608734131
2021-11-09,10018.372608734131
2021-11-10,10018.372608734131
2021-11-11,10018.372608734131
2021-11-12,10018.372608734131
2021-11-15,10018.372608734131
2021-11-16,10018.372608734131
2021-11-17,10018.043327423096
2021-11-18,10020.130882354737
2021-11-19,10021.584347961427
2021-11-22,10021.584347961427
2021-11-23,10021.584347961427
2021-11-24,10021.25624157715
2021-11-26,10013.264969604494
2021-11-29,10020.01341320801
2021-11-30,10013.827637817385
2021-12-01,10013.50713433838
2021-12-02,10012.61432775879
2021-12-03,10012.61432775879
2021-12-06,10012.61432775879
2021-12-07,10012.289124664308
2021-12-08,10012.337678131105
2021-12-09,10010.521943267824
2021-12-10,10019.688080963137
2021-12-13,10016.63919180298
2021-12-14,10005.90011709595
2021-12-15,10012.026978668215
2021-12-16,10002.559846099855
2021-12-17,10001.491761383058
2021-12-20,9997.404063629152
2021-12-21,9997.086269195559
2021-12-22,10002.501383575442
2021-12-23,10002.501383575442
2021-12-27,10002.501383575442
2021-12-28,10002.501383575442
2021-12-29,10002.501383575442
2021-12-30,10002.171908050539
