date,portfolio_value
2018-01-02,9999.983111173162
2018-01-03,10000.339184931761
2018-01-04,10000.577956793983
2018-01-05,10000.957085972137
2018-01-08,10001.06181544882
2018-01-09,10001.191689764893
2018-01-10,10001.103693597233
2018-01-11,10001.52262586424
2018-01-12,10001.899633311943
2018-01-16,10001.700653768368
2018-01-17,10002.227084663919
2018-01-18,10002.176726701828
2018-01-19,10002.312799718868
2018-01-22,10002.557098277412
2018-01-23,10002.62139375133
2018-01-24,10002.609603156267
2018-01-25,10002.62246261836
2018-01-26,10002.97391968792
2018-01-29,10002.770331740085
2018-01-30,10002.457445710636
2018-01-31,10002.472453926033
2018-02-01,10002.438167536744
2018-02-02,10001.781328545432
2018-02-05,10000.5384701603
2018-02-06,10000.5384701603
2018-02-07,10000.52059805718
2018-02-08,9998.268861097342
2018-02-09,9998.268861097342
2018-02-12,9998.251144561773
2018-02-13,9998.398033294683
2018-02-14,9999.197044525152
2018-02-15,9999.962654266363
2018-02-16,9999.980468902593
2018-02-20,9999.599884185796
2018-02-21,9999.29940429688
2018-02-22,9999.377311859136
2018-02-23,10000.31821347466
2018-02-26,10000.31821347466
2018-02-27,10000.31821347466
2018-02-28,10000.31821347466
2018-03-01,10000.31821347466
2018-03-02,10000.31821347466
2018-03-05,10000.31821347466
2018-03-06,10000.31821347466
2018-03-07,10000.31821347466
2018-03-08,10000.31821347466
2018-03-09,10000.31821347466
2018-03-12,10000.31821347466
2018-03-13,10000.31821347466
2018-03-14,10000.31821347466
2018-03-15,10000.31821347466
2018-03-16,10000.31821347466
2018-03-19,10000.31821347466
2018-03-20,10000.31821347466
2018-03-21,10000.31821347466
2018-03-22,10000.31821347466
2018-03-23,10000.31821347466
2018-03-26,10000.30044140206
2018-03-27,9999.292647975546
2018-03-28,9999.12058605538
2018-03-29,9999.86245312081
2018-04-02,9998.575982392507
2018-04-03,9998.575982392507
2018-04-04,9998.558314228827
2018-04-05,9999.023104573065
2018-04-06,9997.700247669989
2018-04-09,9997.986273670966
2018-04-10,9998.91361131745
2018-04-11,9998.603003407294
2018-04-12,9999.087904835516
2018-04-13,9998.91361131745
2018-04-16,9999.400740528876
2018-04-17,10000.039820576483
2018-04-18,10000.084521199042
2018-04-19,9999.749342823798
2018-04-20,9999.239851857
2018-04-23,9999.230929280096
2018-04-24,9998.428698445136
2018-04-25,9998.57396211701
2018-04-26,9999.172816181952
2018-04-27,9999.228674794012
2018-04-30,9998.770598316962
2018-05-01,9998.875620747382
2018-05-02,9998.477866078192
2018-05-03,9998.348261738593
2018-05-04,9999.108023548895
2018-05-07,9999.309126759345
2018-05-08,9999.309126759345
2018-05-09,9999.885630513007
2018-05-10,10000.448748493964
2018-05-11,10000.615928139883
2018-05-14,10000.615928139883
2018-05-15,10000.615928139883
2018-05-16,10000.615928139883
2018-05-17,10000.615928139883
2018-05-18,10000.615928139883
2018-05-21,10000.615928139883
2018-05-22,10000.615928139883
2018-05-23,10000.615928139883
2018-05-24,10000.615928139883
2018-05-25,10000.615928139883
2018-05-29,10000.615928139883
2018-05-30,10000.615928139883
2018-05-31,10000.615928139883
2018-06-01,10000.615928139883
2018-06-04,10000.615928139883
2018-06-05,10000.615928139883
2018-06-06,10000.615928139883
2018-06-07,10000.615928139883
2018-06-08,10000.615928139883
2018-06-11,10000.615928139883
2018-06-12,10000.615928139883
2018-06-13,10000.615928139883
2018-06-14,10000.615928139883
2018-06-15,10000.615928139883
2018-06-18,10000.615928139883
2018-06-19,10000.615928139883
2018-06-20,10000.615928139883
2018-06-21,10000.615928139883
2018-06-22,10000.615928139883
2018-06-25,10000.615928139883
2018-06-26,10000.615928139883
2018-06-27,10000.615928139883
2018-06-28,10000.615928139883
2018-06-29,10000.597660791022
2018-07-02,10000.727833520514
2018-07-03,10000.512345086676
2018-07-05,10001.00841976319
2018-07-06,10001.526909600836
2018-07-09,10002.083569299322
2018-07-10,10002.308037530524
2018-07-11,10001.850140344244
2018-07-12,10002.41351009522
2018-07-13,10002.462906610113
2018-07-16,10002.40681530152
2018-07-17,10002.660408746344
2018-07-18,10002.77392912827
2018-07-19,10002.77392912827
2018-07-20,10002.77392912827
2018-07-23,10002.77392912827
2018-07-24,10002.77392912827
2018-07-25,10002.77392912827
2018-07-26,10002.77392912827
2018-07-27,10002.77392912827
2018-07-30,10002.77392912827
2018-07-31,10002.77392912827
2018-08-01,10002.77392912827
2018-08-02,10002.77392912827
2018-08-03,10002.77392912827
2018-08-06,10002.77392912827
2018-08-07,10002.77392912827
2018-08-08,10002.77392912827
2018-08-09,10002.77392912827
2018-08-10,10002.77392912827
2018-08-13,10002.77392912827
2018-08-14,10002.77392912827
2018-08-15,10002.77392912827
2018-08-16,10002.77392912827
2018-08-17,10002.77392912827
2018-08-20,10002.77392912827
2018-08-21,10002.77392912827
2018-08-22,10002.77392912827
2018-08-23,10002.77392912827
2018-08-24,10002.77392912827
2018-08-27,10002.77392912827
2018-08-28,10002.77392912827
2018-08-29,10002.77392912827
2018-08-30,10002.77392912827
2018-08-31,10002.77392912827
2018-09-04,10002.77392912827
2018-09-05,10002.77392912827
2018-09-06,10002.77392912827
2018-09-07,10002.77392912827
2018-09-10,10002.77392912827
2018-09-11,10002.77392912827
2018-09-12,10002.77392912827
2018-09-13,10002.77392912827
2018-09-14,10002.77392912827
2018-09-17,10002.77392912827
2018-09-18,10002.77392912827
2018-09-19,10002.77392912827
2018-09-20,10002.77392912827
2018-09-21,10002.77392912827
2018-09-24,10002.77392912827
2018-09-25,10002.77392912827
2018-09-26,10002.77392912827
2018-09-27,10002.77392912827
2018-09-28,10002.77392912827
2018-10-01,10002.77392912827
2018-10-02,10002.77392912827
2018-10-03,10002.77392912827
2018-10-04,10002.77392912827
2018-10-05,10002.77392912827
2018-10-08,10002.77392912827
2018-10-09,10002.77392912827
2018-10-10,10002.77392912827
2018-10-11,10002.77392912827
2018-10-12,10002.77392912827
2018-10-15,10002.755368041617
2018-10-16,10004.108212279898
2018-10-17,10004.119477080923
2018-10-18,10003.206291961294
2018-10-19,10003.17248229943
2018-10-22,10002.892910766226
2018-10-23,10002.577236938101
2018-10-24,10000.690103645331
2018-10-25,10000.690103645331
2018-10-26,10000.690103645331
2018-10-29,10000.690103645331
2018-10-30,10000.690103645331
2018-10-31,10000.671797575385
2018-11-01,10001.321173490913
2018-11-02,10000.955904783637
2018-11-05,10001.294119657905
2018-11-06,10001.684191526801
2018-11-07,10002.993224403006
2018-11-08,10002.993224403006
2018-11-09,10002.993224403006
2018-11-12,10002.993224403006
2018-11-13,10002.993224403006
2018-11-14,10002.993224403006
2018-11-15,10002.974756665808
2018-11-16,10003.134844251257
2018-11-19,10002.09089512406
2018-11-20,10000.95017326203
2018-11-21,10000.95017326203
2018-11-23,10000.95017326203
2018-11-26,10000.932078908927
2018-11-27,10001.134997915275
2018-11-28,10002.52843434716
2018-11-29,10002.393153738029
2018-11-30,10002.769683431632
2018-12-03,10003.573788944632
2018-12-04,10003.573788944632
2018-12-06,10003.573788944632
2018-12-07,10003.573788944632
2018-12-10,10003.573788944632
2018-12-11,10003.555922545249
2018-12-12,10003.85578063851
2018-12-13,10003.835501707847
2018-12-14,10002.730673826987
2018-12-17,10001.56122475167
2018-12-18,10001.56122475167
2018-12-19,10001.56122475167
2018-12-20,10001.56122475167
2018-12-21,10001.56122475167
2018-12-24,10001.56122475167
2018-12-26,10001.5444752945
2018-12-27,10001.973106123358
2018-12-28,10001.900554396063
2018-12-31,10002.39267704621
2019-01-02,10002.451640821844
2019-01-03,10001.097701765448
2019-01-04,10002.95286152497
2019-01-07,10003.40417072907
2019-01-08,10003.928731088645
2019-01-09,10003.928731088645
