date,portfolio_value
2022-07-25,10000.0
2022-07-26,10000.0
2022-07-27,10000.0
2022-07-28,10000.0
2022-07-29,10000.0
2022-08-01,10000.0
2022-08-02,10000.0
2022-08-03,10000.0
2022-08-04,10000.0
2022-08-05,10000.0
2022-08-08,10000.0
2022-08-09,10000.0
2022-08-10,10000.0
2022-08-11,10000.0
2022-08-12,10000.0
2022-08-15,10000.0
2022-08-16,10000.0
2022-08-17,10000.0
2022-08-18,10000.0
2022-08-19,10000.0
2022-08-22,10000.0
2022-08-23,10000.0
2022-08-24,10000.0
2022-08-25,10000.0
2022-08-26,10000.0
2022-08-29,10000.0
2022-08-30,10000.0
2022-08-31,10000.0
2022-09-01,10000.0
2022-09-02,10000.0
2022-09-06,10000.0
2022-09-07,10000.0
2022-09-08,10000.0
2022-09-09,10000.0
2022-09-12,10000.0
2022-09-13,10000.0
2022-09-14,10000.0
2022-09-15,10000.0
2022-09-16,10000.0
2022-09-19,10000.0
2022-09-20,10000.0
2022-09-21,10000.0
2022-09-22,10000.0
2022-09-23,10000.0
2022-09-26,10000.0
2022-09-27,10000.0
2022-09-28,10000.0
2022-09-29,10000.0
2022-09-30,10000.0
2022-10-03,10000.0
2022-10-04,10000.0
2022-10-05,10000.0
2022-10-06,10000.0
2022-10-07,10000.0
2022-10-10,10000.0
2022-10-11,10000.0
2022-10-12,10000.0
2022-10-13,10000.0
2022-10-14,10000.0
2022-10-17,10000.0
2022-10-18,10000.0
2022-10-19,10000.0
2022-10-20,10000.0
2022-10-21,10000.0
2022-10-24,10000.0
2022-10-25,10000.0
2022-10-26,10000.0
2022-10-27,10000.0
2022-10-28,10000.0
2022-10-31,10000.0
2022-11-01,10000.0
2022-11-02,10000.0
2022-11-03,10000.0
2022-11-04,10000.0
2022-11-07,10000.0
2022-11-08,10000.0
2022-11-09,10000.0
2022-11-10,10000.0
2022-11-11,10000.0
2022-11-14,10000.0
2022-11-15,10000.0
2022-11-16,10000.0
2022-11-17,10000.0
2022-11-18,10000.0
2022-11-21,10000.0
2022-11-22,10000.0
2022-11-23,10000.0
2022-11-25,10000.0
2022-11-28,10000.0
2022-11-29,10000.0
2022-11-30,10000.0
2022-12-01,10000.0
2022-12-02,10000.0
2022-12-05,10000.0
2022-12-06,10000.0
2022-12-07,10000.0
2022-12-08,10000.0
2022-12-09,10000.0
2022-12-12,10000.0
2022-12-13,10000.0
2022-12-14,10000.0
2022-12-15,10000.0
2022-12-16,10000.0
2022-12-19,10000.0
2022-12-20,10000.0
2022-12-21,10000.0
2022-12-22,10000.0
2022-12-23,10000.0
2022-12-27,10000.0
2022-12-28,10000.0
2022-12-29,10000.0
