date,portfolio_value
2021-12-31,9999.97
2022-01-03,10000.549009594133
2022-01-04,10000.515319387936
2022-01-05,9998.58464094341
2022-01-06,9998.491994559869
2022-01-07,9998.102499951347
2022-01-10,9997.980365378131
2022-01-11,9998.873064933343
2022-01-12,9999.140458638654
2022-01-13,9997.774028858425
2022-01-14,9997.814055759412
2022-01-18,9996.022447859414
2022-01-19,9994.984499893462
2022-01-20,9993.889618870726
2022-01-21,9991.91042200916
2022-01-24,9992.33477550698
2022-01-25,9991.109690738678
2022-01-26,9990.861005010172
2022-01-27,9990.372790896898
2022-01-28,9992.816152623376
2022-01-31,9994.632115908453
2022-02-01,9995.325666125415
2022-02-02,9996.268166506716
2022-02-03,9993.91853635349
2022-02-04,9994.377538716511
2022-02-07,9994.062796436088
2022-02-08,9994.867139372882
2022-02-09,9996.309698254667
2022-02-10,9994.513053433568
2022-02-11,9992.517665663136
2022-02-14,9992.190962310893
2022-02-15,9993.797189093037
2022-02-16,9993.910615562825
2022-02-17,9991.746311973848
2022-02-18,9991.104297257434
2022-02-22,9990.047091740014
2022-02-23,9988.289665087856
2022-02-24,9988.259700218861
2022-02-25,9990.463498386252
2022-02-28,9990.202303624777
2022-03-01,9988.651477443333
2022-03-02,9990.49614586672
2022-03-03,9989.987749186663
2022-03-04,9989.16220129129
2022-03-07,9986.191138850267
2022-03-08,9985.420411275669
2022-03-09,9985.390455014434
2022-03-10,9984.939564092176
2022-03-11,9983.675631847638
2022-03-14,9982.958407274822
2022-03-15,9985.10077056125
2022-03-16,9987.30851609503
2022-03-17,9988.581773716105
2022-03-18,9989.679168499593
2022-03-21,9989.679168499593
2022-03-22,9989.679168499593
2022-03-23,9989.679168499593
2022-03-24,9989.679168499593
2022-03-25,9989.679168499593
2022-03-28,9989.679168499593
2022-03-29,9989.679168499593
2022-03-30,9989.679168499593
2022-03-31,9989.649199462088
2022-04-01,9989.932321449574
2022-04-04,9990.790510070055
2022-04-05,9989.514264277468
2022-04-06,9988.51670445966
2022-04-07,9989.014391233477
2022-04-08,9988.748978034397
2022-04-11,9986.997730071842
2022-04-12,9986.627693270437
2022-04-13,9987.767322073665
2022-04-14,9986.514179897858
2022-04-18,9986.555048186443
2022-04-19,9988.160073131105
2022-04-20,9988.085140696916
2022-04-21,9986.575453376936
2022-04-22,9983.817686728848
2022-04-25,9983.787735275786
2022-04-26,9980.867265045823
2022-04-27,9980.83732244403
2022-04-28,9983.358451016275
2022-04-29,9979.576781037875
2022-05-02,9980.169974750577
2022-05-03,9980.624447208953
2022-05-04,9983.657438829427
2022-05-05,9980.009708191754
2022-05-06,9979.418901622523
2022-05-09,9976.240146778204
2022-05-10,9976.211498460485
2022-05-11,9974.694469651891
2022-05-12,9974.59635563822
2022-05-13,9976.84081669779
2022-05-16,9976.450779161169
2022-05-17,9978.420063218786
2022-05-18,9974.481502732946
2022-05-19,9973.907230577184
2022-05-20,9973.947910508825
2022-05-23,9975.692257127477
2022-05-24,9974.967243394567
2022-05-25,9975.799946031286
2022-05-26,9977.699817857458
2022-05-27,9980.021043840123
2022-05-31,9979.463533464146
2022-06-01,9978.66432386942
2022-06-02,9980.530717912388
2022-06-03,9978.891641679478
2022-06-06,9979.190752092076
2022-06-07,9980.135912004185
2022-06-08,9979.05436140604
2022-06-09,9976.65655557108
2022-06-10,9973.815367770483
2022-06-13,9970.24708978739
2022-06-14,9970.24708978739
2022-06-15,9970.219869255163
2022-06-16,9967.190597033026
2022-06-17,9967.164220653633
2022-06-21,9969.377530895332
2022-06-22,9969.214101635078
2022-06-23,9970.096052013496
2022-06-24,9972.92837208033
2022-06-27,9972.57030933619
2022-06-28,9970.662228281502
2022-06-29,9970.587727243905
2022-06-30,9969.790763205818
2022-07-01,9970.749625510505
2022-07-05,9970.922629660896
2022-07-06,9971.232642478279
2022-07-07,9972.612052268318
2022-07-08,9972.535140342048
2022-07-11,9971.468138999275
2022-07-12,9970.65106899195
2022-07-13,9970.17044765406
2022-07-14,9969.949370688728
2022-07-15,9971.68443996363
2022-07-18,9970.920234031013
2022-07-19,9973.371995147041
2022-07-20,9973.371995147041
2022-07-21,9973.371995147041
2022-07-22,9973.371995147041
2022-07-25,9973.371995147041
2022-07-26,9973.34381424723
2022-07-27,9975.782985084632
2022-07-28,9976.962503435614
2022-07-29,9976.962503435614
2022-08-01,9976.962503435614
2022-08-02,9976.962503435614
2022-08-03,9976.962503435614
2022-08-04,9976.962503435614
2022-08-05,9976.962503435614
2022-08-08,9976.962503435614
2022-08-09,9976.962503435614
2022-08-10,9976.962503435614
2022-08-11,9976.962503435614
2022-08-12,9976.962503435614
2022-08-15,9976.962503435614
2022-08-16,9976.962503435614
2022-08-17,9976.962503435614
2022-08-18,9976.962503435614
2022-08-19,9976.962503435614
2022-08-22,9976.932703299812
2022-08-23,9976.692377372077
2022-08-24,9977.009592337898
2022-08-25,9978.41303472071
2022-08-26,9975.000566764167
2022-08-29,9974.327511767677
2022-08-30,9974.327511767677
2022-08-31,9974.327511767677
2022-09-01,9974.29893218775
2022-09-02,9973.294430844977
2022-09-06,9972.938756101325
2022-09-07,9974.62576019068
2022-09-08,9975.250569455817
2022-09-09,9976.745328061774
2022-09-12,9977.736249485115
2022-09-13,9973.385143071846
2022-09-14,9973.745631963448
2022-09-15,9972.66900995417
2022-09-16,9971.953799993233
2022-09-19,9972.67528894587
2022-09-20,9971.599078923897
2022-09-21,9969.955045055489
2022-09-22,9969.955045055489
2022-09-23,9969.955045055489
2022-09-26,9969.955045055489
2022-09-27,9969.955045055489
2022-09-28,9969.928222264962
2022-09-29,9968.0605617425
2022-09-30,9966.68100662928
2022-10-03,9966.654467606453
2022-10-04,9969.39565565577
2022-10-05,9969.183306717781
2022-10-06,9968.244647049813
2022-10-07,9965.732699417977
2022-10-10,9965.064295792488
2022-10-11,9964.51412489405
2022-10-12,9964.203569134621
2022-10-13,9964.177076446633
2022-10-14,9962.164640533547
2022-10-17,9964.382215606789
2022-10-18,9965.422208892922
2022-10-19,9964.787580597023
2022-10-20,9964.041967498879
2022-10-21,9966.184713470559
2022-10-24,9967.26245051661
2022-10-25,9967.26245051661
2022-10-26,9967.26245051661
2022-10-27,9967.26245051661
2022-10-28,9967.26245051661
2022-10-31,9967.26245051661
2022-11-01,9967.26245051661
2022-11-02,9967.23531355143
2022-11-03,9966.303901808265
2022-11-04,9967.592445509437
2022-11-07,9968.461128370765
2022-11-08,9968.955780165199
2022-11-09,9967.056762831215
2022-11-10,9971.989334581856
2022-11-11,9971.989334581856
2022-11-14,9971.989334581856
2022-11-15,9971.989334581856
2022-11-16,9971.989334581856
2022-11-17,9971.989334581856
2022-11-18,9971.989334581856
2022-11-21,9971.989334581856
2022-11-22,9971.989334581856
2022-11-23,9971.989334581856
2022-11-25,9971.989334581856
2022-11-28,9971.96067452479
2022-11-29,9971.796604395395
2022-11-30,9974.800792932992
2022-12-01,9974.72840523768
2022-12-02,9974.614994287973
2022-12-05,9972.848667383676
2022-12-06,9971.458774805551
2022-12-07,9971.297115564828
2022-12-08,9972.040310144906
2022-12-09,9971.32606148768
2022-12-12,9972.694248438364
2022-12-13,9973.422970057016
2022-12-14,9972.802822351938
2022-12-15,9970.445316553598
2022-12-16,9969.307451120858
2022-12-19,9969.307451120858
2022-12-20,9969.279777203468
2022-12-21,9970.659087811378
2022-12-22,9969.323409710792
2022-12-23,9969.85428587046
2022-12-27,9969.48825803843
2022-12-28,9968.339240704445
2022-12-29,9969.982764874367
